t r.txtA r.txtB
14.9 -79.54635 -11.882009999999994
14.93333 -79.5186 -11.931309999999996
14.96667 -79.57186 -11.923320000000004
15.0 -79.61542 -11.90401
15.03333 -79.6644 -11.925420000000003
15.06667 -79.75917 -11.93405
15.1 -79.89686 -11.875799999999998
15.13333 -80.04341 -11.82177
15.16667 -80.19817 -11.846149999999994
15.2 -80.28886 -11.906580000000005
15.23333 -80.42236 -11.945610000000002
15.26667 -80.57385 -11.937700000000007
15.3 -80.69804 -11.959209999999999
15.33333 -80.84678 -11.965980000000002
15.36667 -80.98048 -11.95299
15.4 -81.05445 -11.975549999999998
15.43333 -81.11564 -11.949820000000003
15.46667 -81.12885 -11.955929999999995
15.5 -81.14214 -11.95026
15.53333 -81.10382 -11.962289999999996
15.56667 -81.07747 -11.974689999999995
15.6 -81.03571 -11.96172
15.63333 -81.00396 -11.915789999999987
15.66667 -80.94089 -11.93319000000001
15.7 -80.88166 -11.922880000000006
15.73333 -80.90497 -11.891529999999989
15.76667 -80.92083 -11.872170000000011
15.8 -80.9627 -11.865570000000005
15.83333 -80.99218 -11.853169999999992
15.86667 -81.02902 -11.834819999999993
15.9 -81.05925 -11.813749999999999
15.93333 -81.08129 -11.799199999999999
15.96667 -81.10103 -11.785170000000008
16.0 -81.1228 -11.744479999999996
16.03333 -81.11889 -11.745900000000006
16.06667 -81.11787 -11.74797000000001
16.1 -81.09409 -11.756350000000012
16.13333 -81.07734 -11.789739999999995
16.16667 -81.00497 -11.837519999999998
16.2 -80.94814 -11.884250000000009
16.23333 -80.9416 -11.882370000000009
16.26667 -80.89556 -11.921089999999992
16.3 -80.82945 -11.939869999999999
16.33333 -80.80783 -11.989810000000006
16.36667 -80.79894 -12.04535
16.4 -80.83337 -12.036180000000002
16.43333 -80.75902 -12.096119999999999
16.46667 -80.70239 -12.146799999999999
16.5 -80.60216 -12.254140000000007
16.53333 -80.53557 -12.324969999999993
16.56667 -80.4876 -12.359210000000004
16.6 -80.44074 -12.399909999999991
16.63333 -80.48598 -12.348439999999997
16.66667 -80.51763 -12.313960000000009
16.7 -80.57655 -12.254540000000006
16.73333 -80.62346 -12.207720000000009
16.76667 -80.55845 -12.258620000000008
16.8 -80.55104 -12.258229999999998
16.83333 -80.53143 -12.255409999999998
16.86667 -80.51259 -12.260089999999991
16.9 -80.54504 -12.230090000000004
16.93333 -80.5699 -12.203289999999996
16.96667 -80.57077 -12.19429000000001
17.0 -80.50447 -12.233490000000003
