	masse_B
t	x	y	θr	θv	θa
9.233333E0	-6.057923E-2	-5.560045E-1	-9.621811E1	1.713192E2	-1.737971E2
9.266667E0	-6.130778E-2	-5.560366E-1	-9.629193E1	-1.776475E2	-7.315476E1
9.300000E0	-6.161797E-2	-5.560472E-1	-9.632339E1	-1.684371E2	1.335018E1
9.333333E0	-6.185691E-2	-5.561489E-1	-9.634656E1	1.729182E2	1.770836E2
9.366667E0	-6.203226E-2	-5.559957E-1	-9.636614E1	1.775396E2	1.714168E2
9.400000E0	-6.326142E-2	-5.560886E-1	-9.649015E1	1.776691E2	1.749337E2
9.433333E0	-6.397049E-2	-5.559168E-1	-9.656427E1	1.729480E2	1.744386E2
9.466667E0	-6.586398E-2	-5.557666E-1	-9.675861E1	1.766411E2	1.728437E2
9.500000E0	-6.858031E-2	-5.556463E-1	-9.703611E1	1.734296E2	1.633239E2
9.533333E0	-7.274196E-2	-5.549744E-1	-9.746734E1	1.694313E2	1.512886E2
9.566667E0	-7.788390E-2	-5.539104E-1	-9.800374E1	1.644033E2	1.579757E2
9.600000E0	-8.408792E-2	-5.518073E-1	-9.866444E1	1.643414E2	1.671789E2
9.633333E0	-9.175455E-2	-5.500224E-1	-9.947085E1	1.663027E2	1.642543E2
9.666667E0	-1.001637E-1	-5.478892E-1	-1.003603E2	1.641128E2	1.352866E2
9.700000E0	-1.092391E-1	-5.450460E-1	-1.013332E2	1.617330E2	1.292391E2
